City,Month,High Temp,Low Temp,Mean Temp,Precipitation
Panama,August,88 °F,76 °F,82 °F,"8.41"""
Bissau,August,86 °F,76 °F,81 °F,"11.63"""
Paramaribo,August,91 °F,76 °F,84 °F,"4.92"""
Bogota,August,66 °F,48 °F,57 °F,"2.82"""
Paris,August,78 °F,56 °F,67 °F,"1.77"""
Brades,August,88 °F,78 °F,83 °F,"3.52"""
Podgorica,August,93 °F,71 °F,82 °F,"1.29"""
Brasilia,August,83 °F,56 °F,70 °F,"0.39"""
Port-au-Prince,August,94 °F,79 °F,86 °F,"2.48"""
Bratislava,August,81 °F,61 °F,71 °F,"2.17"""
Port Louis,August,73 °F,62 °F,67 °F,"3.83"""
Brazzaville,August,85 °F,68 °F,76 °F,"0.65"""
Port of Spain,August,91 °F,75 °F,83 °F,"8.38"""
Bridgetown,August,88 °F,77 °F,82 °F,"6.38"""
Port Vila,August,81 °F,64 °F,72 °F,"2.73"""
Brussels,August,73 °F,56 °F,65 °F,"3.05"""
Porto Novo,August,83 °F,75 °F,79 °F,"2.20"""
Bucharest,August,87 °F,59 °F,73 °F,"1.88"""
Prague,August,76 °F,55 °F,65 °F,"2.56"""
Budapest,August,83 °F,61 °F,72 °F,"2.43"""
Praia,August,86 °F,76 °F,81 °F,"1.06"""
Buenos Aires,August,63 °F,49 °F,56 °F,"2.62"""
Pretoria,August,75 °F,47 °F,61 °F,"0.05"""
Cairo,August,95 °F,76 °F,86 °F,"0.07"""
Pristina,August,88 °F,59 °F,73 °F,"1.25"""
Canberra,August,57 °F,33 °F,45 °F,"1.71"""
Pyongyang,August,86 °F,71 °F,78 °F,"9.03"""
Caracas,August,86 °F,72 °F,79 °F,"5.29"""
Quito,August,67 °F,47 °F,57 °F,"4.02"""
Castries,August,88 °F,77 °F,83 °F,"7.19"""
Rabat,August,81 °F,65 °F,73 °F,"0.09"""
Chișinău,August,83 °F,61 °F,72 °F,"2.07"""
Rarotonga,August,78 °F,67 °F,72 °F,"3.14"""
Conakry,August,82 °F,73 °F,77 °F,"21.10"""
Reykjavik,August,57 °F,48 °F,52 °F,"3.21"""
Copenhagen,August,71 °F,57 °F,64 °F,"2.41"""
Riga,August,72 °F,54 °F,63 °F,"2.90"""
Dakar,August,87 °F,78 °F,82 °F,"7.57"""
Riyadh,August,110 °F,85 °F,98 °F,"1.29"""
Damascus,August,100 °F,66 °F,83 °F,"0.00"""
Road Town,August,89 °F,81 °F,85 °F,"2.93"""
Dhaka,August,91 °F,80 °F,86 °F,"13.67"""
Rome,August,90 °F,67 °F,79 °F,"1.12"""
Dodoma,August,81 °F,59 °F,70 °F,"0.13"""
Roseau,August,90 °F,75 °F,83 °F,"7.27"""
Doha,August,107 °F,89 °F,98 °F,"0.00"""
Saint-Denis,August,78 °F,65 °F,71 °F,"2.62"""
Douglas,August,64 °F,54 °F,59 °F,"2.79"""
Saint George's,August,88 °F,77 °F,82 °F,"3.57"""
Dublin,August,67 °F,52 °F,60 °F,"2.87"""
Saint John's,August,88 °F,78 °F,83 °F,"3.52"""
Dushanbe,August,96 °F,62 °F,79 °F,"0.09"""
San Jose,August,83 °F,66 °F,74 °F,"10.62"""
Freetown,August,82 °F,75 °F,79 °F,"10.75"""
San Juan,August,89 °F,78 °F,84 °F,"6.32"""
Funafuti,August,88 °F,79 °F,83 °F,"8.18"""
San Marino,August,84 °F,67 °F,75 °F,"2.13"""
Gaborone,August,80 °F,47 °F,63 °F,"0.00"""
San Salvador,August,87 °F,69 °F,78 °F,"8.79"""
George Town (Cayman Islands),August,90 °F,79 °F,85 °F,"3.55"""
Santiago,August,65 °F,39 °F,52 °F,"1.21"""
Georgetown (Guyana),August,90 °F,72 °F,81 °F,"8.58"""
Santo Domingo,August,91 °F,76 °F,84 °F,"6.94"""
Gibraltar,August,83 °F,70 °F,77 °F,"0.04"""
São Tomé,August,81 °F,74 °F,77 °F,"0.27"""
Gitega,August,85 °F,66 °F,75 °F,"0.94"""
Sarajevo,August,83 °F,58 °F,71 °F,"2.46"""
Gizo,August,86 °F,75 °F,80 °F,"9.44"""
Seoul,August,86 °F,72 °F,79 °F,"6.09"""
Guatemala City,August,78 °F,63 °F,70 °F,"7.06"""
Singapore,August,89 °F,77 °F,83 °F,"6.94"""
Hamilton,August,86 °F,77 °F,82 °F,"6.41"""
Skopje,August,91 °F,62 °F,76 °F,"2.17"""
Hanoi,August,91 °F,79 °F,85 °F,"15.01"""
Sofia,August,85 °F,58 °F,72 °F,"2.16"""
Harare,August,76 °F,49 °F,63 °F,"0.06"""
Sri Jayawardenepura Kotte,August,87 °F,79 °F,83 °F,"5.13"""
Havana,August,90 °F,73 °F,82 °F,"4.78"""
Stanley,August,43 °F,33 °F,38 °F,"1.81"""
Helsinki,August,69 °F,53 °F,61 °F,"3.02"""
Stockholm,August,71 °F,55 °F,63 °F,"2.26"""
Honiara,August,89 °F,73 °F,81 °F,"3.43"""
Suva,August,79 °F,68 °F,73 °F,"4.94"""
Islamabad,August,92 °F,76 °F,84 °F,"10.37"""
Taipei,August,93 °F,80 °F,86 °F,"5.51"""
Jakarta,August,91 °F,78 °F,84 °F,"4.10"""
Tallinn,August,71 °F,53 °F,62 °F,"4.11"""
Jerusalem,August,90 °F,75 °F,83 °F,"0.72"""
Tarawa,August,88 °F,78 °F,83 °F,"3.42"""
Kampala,August,79 °F,65 °F,72 °F,"2.90"""
Tashkent,August,95 °F,65 °F,80 °F,"0.12"""
Kathmandu,August,84 °F,68 °F,76 °F,"12.30"""
Tbilisi,August,90 °F,69 °F,80 °F,"5.18"""
Kigali,August,83 °F,62 °F,73 °F,"1.13"""
Tegucigalpa,August,85 °F,64 °F,75 °F,"4.41"""
Kingston,August,92 °F,78 °F,85 °F,"3.06"""
Tehran,August,97 °F,77 °F,87 °F,"0.19"""
Kingstown,August,88 °F,78 °F,83 °F,"7.65"""
Tirana,August,93 °F,65 °F,79 °F,"0.72"""
Kinshasa,August,85 °F,68 °F,76 °F,"0.65"""
Tokyo,August,89 °F,77 °F,83 °F,"6.12"""
Kuala Lumpur,August,91 °F,76 °F,83 °F,"7.14"""
Tunis,August,94 °F,73 °F,84 °F,"0.51"""
Kuwait City,August,116 °F,86 °F,101 °F,"1.60"""
Ulaanbaatar,August,73 °F,49 °F,61 °F,"1.86"""
Kyiv,August,79 °F,59 °F,69 °F,"2.25"""
Vaduz,August,76 °F,59 °F,68 °F,"4.84"""
Libreville,August,82 °F,73 °F,78 °F,"0.79"""
Valletta,August,89 °F,73 °F,81 °F,"0.68"""
Lilongwe,August,76 °F,54 °F,65 °F,"0.08"""
Vatican City,August,90 °F,67 °F,79 °F,"1.12"""
Lima,August,66 °F,59 °F,63 °F,"0.04"""
Victoria,August,84 °F,76 °F,80 °F,"4.54"""
Lisbon,August,83 °F,65 °F,74 °F,"0.34"""
Vienna,August,80 °F,60 °F,70 °F,"2.50"""
Ljubljana,August,83 °F,62 °F,72 °F,"5.02"""
Vientiane,August,90 °F,77 °F,83 °F,"13.82"""
Lomé,August,84 °F,74 °F,79 °F,"1.61"""
Vilnius,August,73 °F,54 °F,63 °F,"3.57"""
London,August,73 °F,55 °F,64 °F,"2.29"""
Warsaw,August,76 °F,56 °F,66 °F,"2.55"""
Luanda,August,78 °F,67 °F,73 °F,"0.05"""
Washington DC,August,87 °F,71 °F,79 °F,"3.47"""
Lusaka,August,82 °F,52 °F,67 °F,"0.23"""
Wellington,August,56 °F,45 °F,51 °F,"3.28"""
Luxembourg,August,74 °F,57 °F,65 °F,"2.92"""
Windhoek,August,78 °F,49 °F,64 °F,"0.01"""
Madrid,August,91 °F,66 °F,78 °F,"0.39"""
Yaoundé,August,80 °F,68 °F,74 °F,"4.95"""
Majuro,August,87 °F,78 °F,82 °F,"10.99"""
Yerevan,August,88 °F,64 °F,76 °F,"0.64"""
Male,August,88 °F,79 °F,84 °F,"1.51"""
Zagreb,August,83 °F,62 °F,72 °F,"2.81"""
